"Subject_ID" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyGyro-mean()-X" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()"
1 "LAYING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.24888179828 0.70554977346 0.4458177198 0.0810865342 0.0038382040088 0.010834236361 -0.016553093978 -0.064486124088 0.14868943626 -0.107270949192 -0.04151728689 -0.0740501211 -0.8419291525 -0.8419291525 -0.9543962646 -0.874759548 -0.96346103 -0.9390990524 -0.86706520518 -0.8826668762 -0.9570738838 -0.9224626098 -0.9480609042 -0.850249174586 -0.9280564692 -0.83682740562 -0.826061401628 -0.8968300184 -0.90772000676 -0.85236629022 -0.958482112 -0.9241492736 -0.9548551108 -0.87354386782 -0.9510904402 -0.9082846626 -0.9186085208 -0.9679072436 -0.9577901596 -0.79514486386 -0.79514486386 -0.9282456284 -0.81901016976 -0.9358409828 -0.9244374346 -0.8336255561 -0.81289155944 -0.9641607086 -0.9322178704 -0.9605869872 -0.8822964508 -0.9512320494 -0.9165825082 -0.7983009404 -0.9218039756 -0.82431943968 -0.9326606676 -0.9521914948 -0.909302721 -0.8617676481 -0.9333003608 -0.8621901854 -0.9423669466
1 "SITTING" 0.261237565425532 -0.00130828765170213 -0.104544182255319 0.831509933404255 0.204411592680851 0.332043702765957 0.0774825199574468 -0.000619102785106384 -0.00336779235021277 -0.045350056512766 -0.0919241549361702 0.0629313811914894 -0.0936793807234043 -0.0402118124255319 -0.046702627 -0.948536786170213 -0.948536786170213 -0.987364195531915 -0.93089249 -0.991976341276596 -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.986597022553191 -0.981579467021277 -0.986053092340425 -0.976161464042553 -0.977229008297872 -0.922618641914894 -0.93958629106383 -0.968457145744681 -0.935517055957447 -0.949040933191489 -0.986430711276596 -0.981371965319149 -0.987910804468085 -0.977211283191489 -0.966473895319149 -0.941425920851064 -0.99173159212766 -0.989518068510638 -0.987935806382979 -0.927078418723404 -0.927078418723404 -0.984120024042553 -0.934531840425532 -0.988308728510638 -0.976412313191489 -0.917275006382979 -0.934469558085106 -0.987492994468085 -0.982513909574468 -0.988339184893617 -0.977904227021277 -0.962345042553192 -0.94391784106383 -0.928444801702128 -0.981606177446808 -0.932198374893617 -0.987049617234043 -0.975838585319149 -0.951315544468085 -0.947782922553192 -0.985262126808511 -0.958435589361702 -0.989797547234043
1 "STANDING" 0.277899029864865 -0.0169375340243243 -0.110952474168919 0.937990947027027 -0.278877163040541 -0.0388835893033784 0.0745197151283784 0.021003811825 -0.00399538387091892 -0.0354411586436486 -0.0659013993385135 0.0813121449114865 -0.0934395595216216 -0.0413540573844595 -0.0471406572722973 -0.440398694343919 -0.440398694343919 -0.446156957824324 -0.453021814263514 -0.548041144682432 -0.486579091425676 -0.292311121093243 -0.565668631216216 -0.465658066839257 -0.375497406288791 -0.655843183378378 -0.57085512422973 -0.538720266013514 -0.275035445939189 -0.51777548777027 -0.982752393581081 -0.974858392635135 -0.957961566554054 -0.429104884941892 -0.309960440858108 -0.678012110202703 -0.657480029256757 -0.388767995558446 -0.572159108310811 -0.488724100486487 -0.551802825202703 -0.614770383513514 -0.492658084898649 -0.492658084898649 -0.403438617269865 -0.470496730743243 -0.565045440168919 -0.561535815202703 -0.312214417294797 -0.529735919945946 -0.442092140817568 -0.284943781027568 -0.698596737837838 -0.685291094594595 -0.374999896958784 -0.632011581756757 -0.607268428378378 -0.421866124764865 -0.556455455675676 -0.60114696722973 -0.420316356225 -0.515509221891892 -0.435426452363514 -0.392101988603108 -0.48049816279527 -0.561213049925676
1 "WALKING_DOWNSTAIRS" 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.931874418979592 -0.266610338979592 -0.0621199585938775 0.0541553164897959 0.0296504490408163 -0.0109719730183673 -0.0350781902989796 -0.0909371290204082 0.0900850142030612 -0.0739592036271429 -0.0439902783367347 -0.0270461061061224 0.0271882914106122 0.0271882914106122 -0.0894474807979592 -0.0757412543673469 -0.295463843346939 0.0382291831510204 0.00154990783591837 -0.225574471693878 -0.0276638676122449 -0.12866715764898 -0.288334735714286 -0.352449631363265 0.0300353383483878 -0.0319359434489796 -0.230434213204082 -0.950559811632653 -0.937018658979592 -0.895939695102041 -0.012283860544898 -0.101601390640816 -0.345735032326531 -0.458030542938775 -0.126349194938775 -0.124702454242857 -0.487027342244898 -0.238824827530612 -0.268761480242857 0.0198843506265306 0.0198843506265306 -0.0257877197081633 -0.225724368061224 -0.306510645530612 0.0243308391387755 -0.112963739953061 -0.297927894693878 -0.0863278966402041 -0.134580008877551 -0.401721464285714 -0.495422486102041 -0.181414728657143 -0.238443565306122 -0.186530301073469 -0.104052260726531 -0.398350390122449 -0.391919876612245 -0.0557022524693878 -0.0318694271979592 0.0965845343040816 0.0262184949326531 -0.185720285744898 -0.281963359177551
1 "WALKING_UPSTAIRS" 0.255461689622641 -0.0239531492643396 -0.0973020020943396 0.89335109754717 -0.362153364339623 -0.075402939754717 0.101372729922642 0.0194863076188679 -0.0455625449113208 0.050549379754717 -0.166170015088679 0.0583595463981132 -0.122232768011321 -0.0421485884509434 -0.0407125527654717 -0.129927630735849 -0.129927630735849 -0.466503446226415 -0.126735589969811 -0.59488286509434 -0.404321784150943 -0.190976720811321 -0.433349702075472 -0.479875245660377 -0.41344458754717 -0.685474353962264 -0.492611667924528 -0.35470802509434 -0.00232026501698113 -0.0194792388471698 -0.956367027924528 -0.952849233207547 -0.912379410377358 -0.446843887735849 -0.378274426037736 -0.706593530943396 -0.544871104528302 0.00410518379811321 -0.50716867490566 -0.614786508490566 -0.601696656226415 -0.606332002264151 -0.324970929245283 -0.324970929245283 -0.478991622075472 -0.14861931805283 -0.648553044339623 -0.337428188679245 0.0217695106566038 0.0859565543849057 -0.461907025849057 -0.381777065283019 -0.726040200754717 -0.565892490754717 0.151538905566038 -0.57170784 -0.416260101509434 -0.533059853773585 -0.182985518264151 -0.693930521509434 -0.319474609056604 -0.453597213018868 -0.352395944716981 -0.44265216245283 -0.325961457396226 -0.634665082075472
2 "LAYING" 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.509754238125 0.752536639375 0.646834879583333 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.01847660675 -0.111800824583333 0.144882846104167 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.977435485208333 -0.977435485208333 -0.987741696041667 -0.950011569583333 -0.991767074166667 -0.976725059791667 -0.979800877916667 -0.984380981875 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.9864311425 -0.974059464791667 -0.98027739875 -0.984233296875 -0.959014441458333 -0.988211865208333 -0.984230418125 -0.98587216875 -0.98317254125 -0.988442014375 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.972873912916667 -0.972873912916667 -0.98551807625 -0.961164053958333 -0.989718095208333 -0.973246482083333 -0.981025105625 -0.984792185 -0.987250255833333 -0.984987392916667 -0.989345368541667 -0.988860685833333 -0.981910616458333 -0.963174222291667 -0.975121387916667 -0.984568489166667 -0.96109837875 -0.989492660416667 -0.983321635416667 -0.9626718875 -0.975110196458333 -0.985374114791667 -0.972112972708333 -0.990248702291667
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522 0.940477273043478 -0.105630024498783 0.19872676876087 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.0936328412826087 -0.0415602029130435 -0.04358509665 -0.967893623913043 -0.967893623913043 -0.986774713043478 -0.946035087173913 -0.991081493913043 -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.987848793695652 -0.977139702826087 -0.985129050217391 -0.982621389565217 -0.986822279565217 -0.950704499130435 -0.95982817173913 -0.979988760869565 -0.956750273043478 -0.954415873043478 -0.988055854130435 -0.977983955434783 -0.98751821173913 -0.985742027826087 -0.978919526956522 -0.959803708695652 -0.989709023043478 -0.990889614782609 -0.985542325652174 -0.953081444130435 -0.953081444130435 -0.984475868043478 -0.961313624130435 -0.989594919565217 -0.98736209 -0.950073754130435 -0.956862864130435 -0.989459107391304 -0.980804228478261 -0.988570804130435 -0.986808501521739 -0.977356188695652 -0.963522659782609 -0.955575602173913 -0.984124185869565 -0.961385745217391 -0.989632908913043 -0.982100923695652 -0.959814822391304 -0.96127374826087 -0.983874698913043 -0.971840596086956 -0.989861950869565
2 "STANDING" 0.277136177876106 -0.0185117250784071 -0.105695416522124 0.905328896283186 -0.357815964070796 0.106241104831858 0.0679969427880531 0.0144644459441593 0.000121762032477876 -0.039089310240708 -0.0643911255663717 0.0852237636424779 -0.0931988828141593 -0.0482923207123894 -0.0530040195946903 -0.613197414336283 -0.613197414336283 -0.615490577513274 -0.693571495044248 -0.756285025663717 -0.65088465 -0.470136774067257 -0.69688513619469 -0.627830611504425 -0.505071267132743 -0.757967292743363 -0.686487634336283 -0.69298769460177 -0.498246489959292 -0.675896052566372 -0.979379938849558 -0.973109686725664 -0.959578409380531 -0.613742707385841 -0.472714528148673 -0.775688255132743 -0.758171602654867 -0.745368444336283 -0.712268216548673 -0.671388815044248 -0.801065820265487 -0.692646144690266 -0.678365965486726 -0.678365965486726 -0.552436931438053 -0.744611660176991 -0.758222389646018 -0.711597177079646 -0.546115389079646 -0.689960355309735 -0.633866359477876 -0.473227762730088 -0.79209192920354 -0.78131404300885 -0.742351477168142 -0.755736933097345 -0.760329682212389 -0.551682221570796 -0.797543086106195 -0.758645140088496 -0.754430680353982 -0.666166638318584 -0.630016754318584 -0.555188697132743 -0.736703388761062 -0.771819460088496
2 "WALKING_DOWNSTAIRS" 0.27761534806383 -0.0226614158361702 -0.116812942382979 0.861831345531915 -0.325780100638298 -0.0438890162723404 0.110040615569574 -0.00327959081489362 -0.0209351677765957 -0.11594735287234 -0.00482329231914894 0.097173808906383 -0.0581038498510638 -0.0421470257531915 -0.0710229816893617 0.0899511204978723 0.0899511204978723 0.00565516335106383 -0.162188586930426 -0.410872671489362 0.112841160325532 0.278345041765957 -0.131290772 0.138120681087234 0.0962091607617021 -0.271498721106383 -0.145775970406383 0.0463666814446808 0.262881788951064 -0.10283790806383 -0.940361759574468 -0.940068525531915 -0.931438313191489 0.147249143238298 0.126828014557447 -0.340122023191489 -0.320789230008511 -0.415739144893617 -0.279418388042553 -0.243940592553192 -0.469396701106383 -0.218266318606383 0.215586334889362 0.215586334889362 0.22961718512766 -0.274844110531915 -0.343187875404255 0.0161046198595745 0.171973972957447 -0.162032894287234 0.0499590624829787 0.0808333491276596 -0.408227423191489 -0.379436674361702 -0.458732747446809 -0.422987665106383 -0.0214787881723404 0.227480732542553 -0.372576755361702 -0.343698985425532 -0.361913824 -0.0874944736085106 0.293424826591489 0.222247409576596 -0.320838543553191 -0.380175306489362
2 "WALKING_UPSTAIRS" 0.247164790395833 -0.0214121132045833 -0.152513899520833 0.790717418541667 -0.416214890416667 -0.195888238891667 0.0744507839572917 -0.00970985514333333 0.01948143925 -0.0576912634583333 -0.0320883097395833 0.0688374021666667 -0.0828858001333333 -0.0424053708458333 -0.0445157481625 -0.107322679520833 -0.107322679520833 -0.321268911041667 -0.219713472958333 -0.572816438541667 -0.266720933270833 0.00992445881854167 -0.281001986202083 -0.258639439729167 -0.1878421317125 -0.522728063333333 -0.331643577458333 -0.304376406458333 0.108027279889583 -0.112121021220833 -0.934407739791667 -0.92376745375 -0.878004056875 -0.276121886479167 -0.185648954220833 -0.5737463525 -0.439253058958333 -0.466298336666667 -0.163995791679167 -0.464854363125 -0.645491337708333 -0.467595961041667 -0.205977045295833 -0.205977045295833 -0.21738939458125 -0.377532167604167 -0.597291719166667 -0.320582414375 0.0848802791083333 -0.09454497643125 -0.365415441458333 -0.243554146666667 -0.625090981458333 -0.476358845625 -0.459758488958333 -0.218072471479167 -0.36672824375 -0.2604238389625 -0.438620401875 -0.621820202916667 -0.488086123958333 -0.248601122 -0.14531853915625 -0.189511136902083 -0.450612184791667 -0.60079849625
